time,open,high,low,close
2014-03-14T00:00:00Z,1.66207,1.66215,1.66117,1.66201
2014-03-14T04:00:00Z,1.66201,1.66258,1.6593,1.66138
2014-03-14T08:00:00Z,1.66138,1.66281,1.65876,1.65893
2014-03-14T12:00:00Z,1.65893,1.66446,1.65865,1.6627
2014-03-14T16:00:00Z,1.6627,1.66366,1.66098,1.66349
2014-03-14T20:00:00Z,1.66349,1.66486,1.6627,1.66404
2014-03-17T00:00:00Z,1.66404,1.66404,1.6625,1.66347
2014-03-17T04:00:00Z,1.66347,1.66474,1.66274,1.66357
2014-03-17T08:00:00Z,1.66357,1.66515,1.66044,1.66087
2014-03-17T12:00:00Z,1.66087,1.66652,1.66039,1.66432
2014-03-17T16:00:00Z,1.66432,1.66502,1.66293,1.66327
2014-03-17T20:00:00Z,1.66327,1.66398,1.66317,1.66382
2014-03-18T00:00:00Z,1.66382,1.66438,1.66322,1.66374
2014-03-18T04:00:00Z,1.66374,1.6647,1.6601,1.66016
2014-03-18T08:00:00Z,1.66016,1.6623,1.65886,1.66213
2014-03-18T12:00:00Z,1.66213,1.66313,1.65451,1.65725
2014-03-18T16:00:00Z,1.65725,1.65931,1.65629,1.65881
2014-03-18T20:00:00Z,1.65881,1.65958,1.65808,1.65945
2014-03-19T00:00:00Z,1.65945,1.66027,1.65852,1.65899
2014-03-19T04:00:00Z,1.65899,1.66068,1.65866,1.65974
2014-03-19T08:00:00Z,1.65974,1.66534,1.65974,1.66522
2014-03-19T12:00:00Z,1.66522,1.66523,1.66073,1.66274
2014-03-19T16:00:00Z,1.66274,1.66498,1.65073,1.65324
2014-03-19T20:00:00Z,1.65324,1.65425,1.65241,1.65317
2014-03-20T00:00:00Z,1.65317,1.65439,1.65297,1.65396
2014-03-20T04:00:00Z,1.65396,1.65535,1.6527,1.6545
2014-03-20T08:00:00Z,1.6545,1.65678,1.65005,1.65151
2014-03-20T12:00:00Z,1.65151,1.65154,1.64793,1.65089
2014-03-20T16:00:00Z,1.65089,1.6518,1.64942,1.64993
2014-03-20T20:00:00Z,1.64993,1.65089,1.64983,1.65064
2014-03-21T00:00:00Z,1.65064,1.65194,1.65043,1.65082
2014-03-21T04:00:00Z,1.65082,1.65162,1.64832,1.64847
2014-03-21T08:00:00Z,1.64847,1.65136,1.64748,1.65029
2014-03-21T12:00:00Z,1.65029,1.6513,1.64815,1.64935
2014-03-21T16:00:00Z,1.64935,1.65024,1.64815,1.6493
2014-03-21T20:00:00Z,1.6493,1.6499,1.64673,1.64923
2014-03-24T00:00:00Z,1.64923,1.64939,1.64769,1.64867
2014-03-24T04:00:00Z,1.64867,1.65007,1.64778,1.64978
2014-03-24T08:00:00Z,1.64978,1.65103,1.64648,1.64901
2014-03-24T12:00:00Z,1.64901,1.64966,1.64716,1.6488
2014-03-24T16:00:00Z,1.6488,1.65355,1.6485,1.64994
2014-03-24T20:00:00Z,1.64994,1.65014,1.6488,1.64961
2014-03-25T00:00:00Z,1.64961,1.65021,1.6492,1.64959
2014-03-25T04:00:00Z,1.64959,1.65013,1.64805,1.64932
2014-03-25T08:00:00Z,1.64932,1.65124,1.64813,1.6501
2014-03-25T12:00:00Z,1.6501,1.65354,1.64988,1.65053
2014-03-25T16:00:00Z,1.65053,1.65486,1.64916,1.6528
2014-03-25T20:00:00Z,1.6528,1.65332,1.65253,1.65316
2014-03-26T00:00:00Z,1.65316,1.65402,1.65258,1.65291
2014-03-26T04:00:00Z,1.65291,1.65438,1.65087,1.65416
2014-03-26T08:00:00Z,1.65416,1.65562,1.65242,1.65445
2014-03-26T12:00:00Z,1.65445,1.65767,1.65354,1.65635
2014-03-26T16:00:00Z,1.65635,1.65962,1.6556,1.65912
2014-03-26T20:00:00Z,1.65912,1.65929,1.65685,1.65767
2014-03-27T00:00:00Z,1.65767,1.65849,1.65721,1.65812
2014-03-27T04:00:00Z,1.65812,1.65835,1.65608,1.65752
2014-03-27T08:00:00Z,1.65752,1.66395,1.65544,1.66351
2014-03-27T12:00:00Z,1.66351,1.66462,1.66083,1.66097
2014-03-27T16:00:00Z,1.66097,1.66215,1.66013,1.66107
2014-03-27T20:00:00Z,1.66107,1.66159,1.65959,1.66064
2014-03-28T00:00:00Z,1.66064,1.66218,1.66056,1.66185
2014-03-28T04:00:00Z,1.66185,1.66285,1.66099,1.66276
